run,condition,layer,turn,projection,proj_norm
scenario_09_aa_feed_run03,aa_feed,32,10,-16.685949325561523,3.268571281433104
scenario_09_aa_feed_run03,aa_feed,32,11,-15.461470603942873,4.493050003051755
scenario_09_aa_feed_run03,aa_feed,32,12,-21.830224990844727,-1.875704383850099
scenario_09_aa_feed_run03,aa_feed,32,13,-14.995436668395996,4.959083938598631
scenario_09_aa_feed_run03,aa_feed,32,14,-11.43833351135254,8.516187095642087
scenario_09_aa_feed_run03,aa_feed,50,0,-2.8823742866516118,-14.829374694824219
scenario_09_aa_feed_run03,aa_feed,50,1,17.8330020904541,5.886001682281494
scenario_09_aa_feed_run03,aa_feed,50,2,13.390560150146484,1.4435597419738766
scenario_09_aa_feed_run03,aa_feed,50,3,10.806819915771484,-1.1401804924011234
scenario_09_aa_feed_run03,aa_feed,50,4,20.586994171142575,8.639993762969967
scenario_09_aa_feed_run03,aa_feed,50,5,2.515055656433105,-9.431944751739502
scenario_09_aa_feed_run03,aa_feed,50,6,9.608219146728516,-2.338781261444092
scenario_09_aa_feed_run03,aa_feed,50,7,-9.123368263244627,-21.070368671417235
scenario_09_aa_feed_run03,aa_feed,50,8,-12.11194133758545,-24.058941745758055
scenario_09_aa_feed_run03,aa_feed,50,9,16.656333923339844,4.709333515167236
scenario_09_aa_feed_run03,aa_feed,50,10,16.91317367553711,4.966173267364502
scenario_09_aa_feed_run03,aa_feed,50,11,21.130550384521484,9.183549976348877
scenario_09_aa_feed_run03,aa_feed,50,12,10.704301834106444,-1.2426985740661642
scenario_09_aa_feed_run03,aa_feed,50,13,21.545175552368164,9.598175144195556
scenario_09_aa_feed_run03,aa_feed,50,14,26.264137268066406,14.317136859893798
scenario_09_aa_feed_run04,aa_feed,32,0,-16.685949325561523,7.827486419677733
scenario_09_aa_feed_run04,aa_feed,32,1,-24.51475143432617,-0.0013156890869119309
scenario_09_aa_feed_run04,aa_feed,32,2,-23.63200569152832,0.8814300537109361
scenario_09_aa_feed_run04,aa_feed,32,3,-29.37477302551269,-4.861337280273435
scenario_09_aa_feed_run04,aa_feed,32,4,-28.359699249267575,-3.846263504028318
scenario_09_aa_feed_run04,aa_feed,32,5,-21.830224990844727,2.68321075439453
scenario_09_aa_feed_run04,aa_feed,32,6,-21.174755096435547,3.3386806488037095
scenario_09_aa_feed_run04,aa_feed,32,7,-18.54048728942871,5.9729484558105455
scenario_09_aa_feed_run04,aa_feed,32,8,-15.79523754119873,8.718198204040526
scenario_09_aa_feed_run04,aa_feed,32,9,-19.96129035949707,4.552145385742186
